,title,number_of_pages,number_of_downloads,book_url
0,Mastering Bitcoin: Programming the Open Blockchain (O'Reilly 2nd edition 2017),405,"21,736",https://www.pdfdrive.com/mastering-bitcoin-programming-the-open-blockchain-oreilly-2nd-edition-2017-e158112095.html
1,O'Reilly - Python Cookbook.pdf,677,"10,988",https://www.pdfdrive.com/oreilly-python-cookbookpdf-e39897940.html
2,"Learning Spark (O'Reilly, 2015).",274,"9,768",https://www.pdfdrive.com/learning-spark-oreilly-2015-e26563812.html
3,R Cookbook (O'Reilly Cookbooks),436,"7,256",https://www.pdfdrive.com/r-cookbook-oreilly-cookbooks-e157026675.html
4,TCP IP Network Administration (3rd Edition; O'Reilly Networking),748,"6,480",https://www.pdfdrive.com/tcp-ip-network-administration-3rd-edition-oreilly-networking-e157044168.html
5,O'Reilly - Practical C Programming.pdf,504,"5,251",https://www.pdfdrive.com/oreilly-practical-c-programmingpdf-e19464425.html
6,Java Swing -- O'REILLY,985,"3,986",https://www.pdfdrive.com/java-swing-oreilly-e901410.html
7,O'Reilly - Practical C++ Programming.pdf,549,"3,425",https://www.pdfdrive.com/oreilly-practical-c-programmingpdf-e39580460.html
8,Javascript: JSON and Ajax - O'Reilly Media,214,"3,136",https://www.pdfdrive.com/javascript-json-and-ajax-oreilly-media-e18463816.html
9,Introduction to Machine Learning with Python,392,"98,441",https://www.pdfdrive.com/introduction-to-machine-learning-with-python-e58337749.html
10,Data Structures and Algorithms - O'Reilly Media,290,"2,402",https://www.pdfdrive.com/data-structures-and-algorithms-oreilly-media-e17366738.html
11,C++ Cookbook (Cookbooks (O'Reilly)),"1,405","2,357",https://www.pdfdrive.com/c-cookbook-cookbooks-oreilly-e193133081.html
12,HTML5 Cookbook (O'Reilly Cookbooks),284,"2,245",https://www.pdfdrive.com/html5-cookbook-oreilly-cookbooks-e162234171.html
13,O'Reilly - Learning Perl,454,"2,240",https://www.pdfdrive.com/oreilly-learning-perl-e5527646.html
14,Изучаем программирование на HTML5 (Head First O'Reilly),594,"2,239",https://www.pdfdrive.com/Изучаем-программирование-на-html5-head-first-oreilly-e50459751.html
15,O'Reilly - Head First Web Design,462,"2,089",https://www.pdfdrive.com/oreilly-head-first-web-design-e55039121.html
16,Head First SQL,586,"53,222",https://www.pdfdrive.com/head-first-sql-e39562668.html
17,"Cisco IOS Cookbook, 2nd Edition (Cookbooks (O'Reilly))","1,238","2,009",https://www.pdfdrive.com/cisco-ios-cookbook-2nd-edition-cookbooks-oreilly-e162170534.html
18,O'Reilly - HTTP: The Definitive Guide - staroceans.net,596,"1,539",https://www.pdfdrive.com/oreilly-http-the-definitive-guide-staroceansnet-e8248361.html
19,O'Reilly Learning Ruby.pdf,257,"1,133",https://www.pdfdrive.com/oreilly-learning-rubypdf-e33434015.html
20,"O'Reilly - Head First Servlets and JSP, 2nd Edition",883,"1,741",https://www.pdfdrive.com/oreilly-head-first-servlets-and-jsp-2nd-edition-e58834814.html
21,O'Reilly - Practical C Programming.pdf,504,"1,502",https://www.pdfdrive.com/oreilly-practical-c-programmingpdf-e41902555.html
22,Linq Pocket Reference (Pocket Reference (O'Reilly)),174,"1,110",https://www.pdfdrive.com/linq-pocket-reference-pocket-reference-oreilly-e157046919.html
23,MYSQL in a Nutshell (In a Nutshell (O'Reilly)),566,"1,745",https://www.pdfdrive.com/mysql-in-a-nutshell-in-a-nutshell-oreilly-e164798810.html
24,Python Pocket Reference: Python in Your Pocket (Pocket Reference (O'Reilly)),210,"1,678",https://www.pdfdrive.com/python-pocket-reference-python-in-your-pocket-pocket-reference-oreilly-e158596572.html
